sample,nonambig,all
BOU00025/2021/USA/CO/Boulder/unknown/unknown/Mosquito-Culex,9791,10514
BOU00038/2021/USA/CO/Boulder/unknown/unknown/Mosquito-Culex,10773,10969
CSU10000/2016/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10874,10969
CSU10001/2016/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10897,10969
CSU10006/2016/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10094,10969
CSU10024/2016/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10651,10969
CSU10224/2016/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10878,10969
CSU10610/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10336,10514
CSU10613/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10714,10969
CSU10669/2017/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10880,10969
CSU10672/2017/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10683,10969
CSU10710/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10868,10969
CSU10766/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10714,10969
CSU10774/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10715,10969
CSU10804/2017/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10952,10969
CSU10808/2017/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10839,10969
CSU10812/2017/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10714,10969
CSU10879/2017/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10718,10969
CSU10888/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10954,10969
CSU10892/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10712,10969
CSU10911/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10956,10969
CSU10938/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10885,10969
CSU10968/2017/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10794,10969
CSU11010/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10955,10969
CSU11025/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10715,10969
CSU11045/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10957,10969
CSU11046/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10955,10969
CSU11049/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10032,10514
CSU11071/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10708,10969
CSU11072/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10713,10969
CSU11073/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10488,10514
CSU11076/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10959,10969
CSU11080/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10955,10969
CSU11099/2017/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10951,10969
CSU11116/2017/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10959,10969
CSU11135/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10956,10970
CSU11165/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10953,10969
CSU11175/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10956,10969
CSU11217/2017/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex,10955,10969
CSU11225/2017/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex,10950,10969
CSU11241/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10884,10969
CSU11247/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex,10882,10969
CSU11262/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10718,10969
CSU11264/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10955,10969
CSU11265/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10953,10969
CSU11327/2017/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex,10958,10969
CSU11355/2017/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10953,10969
CSU11358/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10961,10969
CSU11359/2017/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10961,10969
CSU11361/2017/USA/CO/BE/LC/unknown/unknown/Mosquito-Culex,10960,10969
CSU11373/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10957,10969
CSU11443/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10953,10969
CSU11511/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex,10338,10514
